name,source,is_used,used_by_rabbit_id,status
Enma,Naruto,false,,available
Ensui Nara,Naruto,false,,available
Ebisu,Naruto,false,,available
Ebizô,Naruto,false,,available
En no Gyôja,Naruto,false,,available
Fû,Naruto,false,,available
Fû Yamanaka,Naruto,false,,available
Fubuki Kakuyoku,Naruto,false,,available
Fudô,Naruto,false,,available
Fuen,Naruto,false,,available
Fugaku Uchiwa,Naruto,false,,available
Fugi,Naruto,false,,available
Fuguki Suikazan,Naruto,false,,available
Fûjin,Naruto,false,,available
Fûka,Naruto,false,,available
Fuki,Naruto,false,,available
Furui,Naruto,false,,available
Fusô,Naruto,false,,available
Futaba,Naruto,false,,available
Gaara,Naruto,false,,available
Gaï Maito,Naruto,false,,available
Gakidô,Naruto,false,,available
Gaku Inuzuka,Naruto,false,,available
Gamabunta,Naruto,false,,available
Gamakichi,Naruto,false,,available
Gamatatsu,Naruto,false,,available
Ganryû,Naruto,false,,available
Gantetsu (Iwa),Naruto,false,,available
Gantetsu,Naruto,false,,available
Gatô,Naruto,false,,available
Gari,Naruto,false,,available
Gengetsu Hôzuki,Naruto,false,,available
Genma Shiranui,Naruto,false,,available
Gennô,Naruto,false,,available
Gennaï,Naruto,false,,available
Gen'yûmaru,Naruto,false,,available
Giichi,Naruto,false,,available
Ginji,Naruto,false,,available
Ginkaku,Naruto,false,,available
Gôza,Naruto,false,,available
Gozu,Naruto,false,,available
Gôzu,Naruto,false,,available
Grand Chef Ninja de Kumo,Naruto,false,,available
Guren,Naruto,false,,available
Guruguru,Naruto,false,,available
Gyûki,Naruto,false,,available
Hagoromo Ôtsutsuki,Naruto,false,,available
Haido,Naruto,false,,available
Haku,Naruto,false,,available
Han,Naruto,false,,available
Hanzô,Naruto,false,,available
Hana Inuzuka,Naruto,false,,available
Hanabi Hyûga,Naruto,false,,available
Hanzaki,Naruto,false,,available
Hashirama Senju,Naruto,false,,available
Hayama Shirakumo,Naruto,false,,available
Hayase,Naruto,false,,available
Hayate Gekkô,Naruto,false,,available
Heiji,Naruto,false,,available
Hiashi Hyûga,Naruto,false,,available
Hibachi,Naruto,false,,available
Hibari,Naruto,false,,available
Hidan,Naruto,false,,available
Hikaku Uchiwa,Naruto,false,,available
Hikaru,Naruto,false,,available
Himawari Uzumaki,Naruto,false,,available
Hinata Hyûga,Naruto,false,,available
Hinoe,Naruto,false,,available
Hiruzen Sarutobi,Naruto,false,,available
Hisame,Naruto,false,,available
Hizashi Hyûga,Naruto,false,,available
Hoheto Hyûga,Naruto,false,,available
Hôichi,Naruto,false,,available
Hôshô,Naruto,false,,available
Hôki (Taki),Naruto,false,,available
Hôki (Takumi),Naruto,false,,available
Hôki (Watari),Naruto,false,,available
Homura Mitokado,Naruto,false,,available
Hotaru,Naruto,false,,available
Hotarubi,Naruto,false,,available
Ibuse,Naruto,false,,available
Ibushi,Naruto,false,,available
Idate Morino,Naruto,false,,available
Iggy,Naruto,false,,available
Ikkaku Umino,Naruto,false,,available
Inabi Uchiwa,Naruto,false,,available
Inari,Naruto,false,,available
Indra,Naruto,false,,available
Ino Yamanaka,Naruto,false,,available
Inoichi Yamanaka,Naruto,false,,available
Ibiki Morino,Naruto,false,,available
Inaho,Naruto,false,,available
Inojin Yamanaka,Naruto,false,,available
Iruka Umino,Naruto,false,,available
Iô,Naruto,false,,available
Iô (ninja médecin),Naruto,false,,available
Iroha Hyûga,Naruto,false,,available
Isago,Naruto,false,,available
Isaribi,Naruto,false,,available
Ise,Naruto,false,,available
Ishikawa,Naruto,false,,available
Isobu,Naruto,false,,available
Itachi Uchiwa,Naruto,false,,available
Itama Senju,Naruto,false,,available
Ittan,Naruto,false,,available
Ittetsu,Naruto,false,,available
Iwana Akame,Naruto,false,,available
Iwashi Tatami,Naruto,false,,available
Iyashi,Naruto,false,,available
Izumo Kamizuki,Naruto,false,,available
Izuna Uchiwa,Naruto,false,,available
Jibachi,Naruto,false,,available
Jiga,Naruto,false,,available
Jigokudô,Naruto,false,,available
Jigumo,Naruto,false,,available
Jinin Akebino,Naruto,false,,available
Jinpachi Munashi,Naruto,false,,available
Jiraya,Naruto,false,,available
Jiro,Naruto,false,,available
Jirôbô,Naruto,false,,available
Jôseki,Naruto,false,,available
Jûbi,Naruto,false,,available
Jûgo,Naruto,false,,available
Junsai,Naruto,false,,available
Kabuto Yakushi,Naruto,false,,available
Kagami Uchiwa,Naruto,false,,available
Kagari,Naruto,false,,available
Kagerô,Naruto,false,,available
Kaguya Ôtsutsuki,Naruto,false,,available
Kaiza,Naruto,false,,available
Kaji,Naruto,false,,available
Kajika,Naruto,false,,available
Kakashi Hatake,Naruto,false,,available
Kakuzu,Naruto,false,,available
Kamatari,Naruto,false,,available
Kamikiri,Naruto,false,,available
Kamira,Naruto,false,,available
Kandachi,Naruto,false,,available
Kankurô,Naruto,false,,available
Kaori,Naruto,false,,available
Karaï,Naruto,false,,available
Karashi,Naruto,false,,available
Karasu,Naruto,false,,available
Karin,Naruto,false,,available
Karui,Naruto,false,,available
Kashike,Naruto,false,,available
Kasumi,Naruto,false,,available
Katsuyu,Naruto,false,,available
Kawarama Senju,Naruto,false,,available
Kazuma,Naruto,false,,available
Kiba Inuzuka,Naruto,false,,available
Kidomaru,Naruto,false,,available
Kigiri,Naruto,false,,available
Kihô,Naruto,false,,available
Killer B,Naruto,false,,available
Kimimaro,Naruto,false,,available
Kin Tsuchi,Naruto,false,,available
Kinkaku,Naruto,false,,available
Kinoto,Naruto,false,,available
Kiri (ninja),Naruto,false,,available
Kirisame,Naruto,false,,available
Kisame Hoshigaki,Naruto,false,,available
Kisuke Maboroshi,Naruto,false,,available
Kitsuchi,Naruto,false,,available
Kiyoi Yotsuki,Naruto,false,,available
Kô Hyûga,Naruto,false,,available
Kôji,Naruto,false,,available
Kôji (Suna),Naruto,false,,available
Kôta,Naruto,false,,available
Kohari Umino,Naruto,false,,available
Koharu Utatane,Naruto,false,,available
Kokuô,Naruto,false,,available
Kokuyô,Naruto,false,,available
Komachi,Naruto,false,,available
Komaza,Naruto,false,,available
Komugi,Naruto,false,,available
Konan,Naruto,false,,available
Konohamaru,Naruto,false,,available
Korobi,Naruto,false,,available
Kosuke Maruboshi,Naruto,false,,available
Kotohime,Naruto,false,,available
Kujaku,Naruto,false,,available
Kumadori,Naruto,false,,available
Kumade Toriichi,Naruto,false,,available
Kotetsu Hagane,Naruto,false,,available
Kurama,Naruto,false,,available
Kurenaï Yûhi,Naruto,false,,available
Kuroari,Naruto,false,,available
Kurobachi,Naruto,false,,available
Kuromaru,Naruto,false,,available
Kurotsuchi,Naruto,false,,available
Kushimaru Kuriarare,Naruto,false,,available
Kushina Uzumaki,Naruto,false,,available
Kyôya,Naruto,false,,available
Kyodaigumo,Naruto,false,,available
Kyûsuke,Naruto,false,,available
Mabui,Naruto,false,,available
Madara Uchiwa,Naruto,false,,available
Mahiru,Naruto,false,,available
Mai Kagetsu,Naruto,false,,available
Maki,Naruto,false,,available
Mamushi,Naruto,false,,available
Manabu Akado,Naruto,false,,available
Manda,Naruto,false,,available
Manda II,Naruto,false,,available
Mangetsu Hôzuki,Naruto,false,,available
Matatabi,Naruto,false,,available
Matsu,Naruto,false,,available
Matsuri,Naruto,false,,available
Matsuri (Konoha),Naruto,false,,available
Meizu,Naruto,false,,available
Meï Terumî,Naruto,false,,available
Menma,Naruto,false,,available
Menma Uzumaki,Naruto,false,,available
Mère de Chôji,Naruto,false,,available
Mère de Hinata et Hanabi,Naruto,false,,available
Mère d'Ino,Naruto,false,,available
Midare,Naruto,false,,available
Midori,Naruto,false,,available
Mikoto Uchiwa,Naruto,false,,available
Minato Namikaze,Naruto,false,,available
Minoji,Naruto,false,,available
Misumi Tsurugi,Naruto,false,,available
Mito Uzumaki,Naruto,false,,available
Mizore Fuyukuma,Naruto,false,,available
Mizuki,Naruto,false,,available
Mizunoe,Naruto,false,,available
Moegi Kazamatsuri,Naruto,false,,available
Mogusa,Naruto,false,,available
Monga,Naruto,false,,available
Monju,Naruto,false,,available
Monzaemon Chikamatsu,Naruto,false,,available
Motoï,Naruto,false,,available
Mozuku,Naruto,false,,available
Mû,Naruto,false,,available
Mubi,Naruto,false,,available
Mukade,Naruto,false,,available
Murakumo Kurama,Naruto,false,,available
Musaï,Naruto,false,,available
Muta Aburame,Naruto,false,,available
Nae,Naruto,false,,available
Nadare Rôga,Naruto,false,,available
Nagato,Naruto,false,,available
Nagare,Naruto,false,,available
Naka Uchiwa,Naruto,false,,available
Nangô,Naruto,false,,available
Naori Uchiwa,Naruto,false,,available
Naruto Uzumaki,Naruto,false,,available
Natsu,Naruto,false,,available
Natsuhi,Naruto,false,,available
Natsu Hyûga,Naruto,false,,available
Nawaki,Naruto,false,,available
Nekobaa,Naruto,false,,available
Neji Hyûga,Naruto,false,,available
Nejiri,Naruto,false,,available
Nigaï,Naruto,false,,available
Ningame,Naruto,false,,available
Ningendô,Naruto,false,,available
Nishi,Naruto,false,,available
Nobori,Naruto,false,,available
Nonô Yakushi,Naruto,false,,available
Nurari,Naruto,false,,available
Obito Uchiwa,Naruto,false,,available
Oboro,Naruto,false,,available
Ôkei,Naruto,false,,available
Okisuke,Naruto,false,,available
Omoï,Naruto,false,,available
Orochimaru,Naruto,false,,available
Osoï,Naruto,false,,available
Otokaze,Naruto,false,,available
Ôtora,Naruto,false,,available
Oyone,Naruto,false,,available
Pakkun,Naruto,false,,available
Pakura,Naruto,false,,available
Partenaire de Sekiei,Naruto,false,,available
Rai Uchiwa,Naruto,false,,available
Raidô Namiashi,Naruto,false,,available
Raïga Kurosuki,Naruto,false,,available
Raijin,Naruto,false,,available
Ran,Naruto,false,,available
Ranka,Naruto,false,,available
Ranmaru,Naruto,false,,available
Rasa,Naruto,false,,available
Reki,Naruto,false,,available
Renga,Naruto,false,,available
Riichi,Naruto,false,,available
Riichi (ninja),Naruto,false,,available
Rin Nohara,Naruto,false,,available
Rinji,Naruto,false,,available
Rock Lee,Naruto,false,,available
Rôshi,Naruto,false,,available
Ruiga,Naruto,false,,available
Ruka,Naruto,false,,available
Ryôkan,Naruto,false,,available
Ryûgan,Naruto,false,,available
Ryûsa,Naruto,false,,available
Ryûsui,Naruto,false,,available
Sabiru,Naruto,false,,available
Saï,Naruto,false,,available
Sagan,Naruto,false,,available
Saiken,Naruto,false,,available
Sajin,Naruto,false,,available
Sajô,Naruto,false,,available
Samui,Naruto,false,,available
Samo,Naruto,false,,available
Sana,Naruto,false,,available
Santa Yamanaka,Naruto,false,,available
Sakon et Ukon,Naruto,false,,available
Sakumo Hatake,Naruto,false,,available
Sakura Haruno,Naruto,false,,available
Sanshô,Naruto,false,,available
Sanshôuo,Naruto,false,,available
Sari,Naruto,false,,available
Sarada Uchiwa,Naruto,false,,available
Sasori,Naruto,false,,available
Sasame,Naruto,false,,available
Sasuke Uchiwa,Naruto,false,,available
Satetsu,Naruto,false,,available
Saya,Naruto,false,,available
Seimei,Naruto,false,,available
Sekiei,Naruto,false,,available
Sekka,Naruto,false,,available
Sen,Naruto,false,,available
Sensei de Kabuto,Naruto,false,,available
Setsuna Uchiwa,Naruto,false,,available
Shamon,Naruto,false,,available
Shiba,Naruto,false,,available
Shiba (Kusa),Naruto,false,,available
Shibi Aburame,Naruto,false,,available
Shibire,Naruto,false,,available
Shibuki,Naruto,false,,available
Shiho,Naruto,false,,available
Shigure,Naruto,false,,available
Shijimi,Naruto,false,,available
Shikadai Nara,Naruto,false,,available
Shikaku Nara,Naruto,false,,available
Shikuro Aburame,Naruto,false,,available
Shikamaru Nara,Naruto,false,,available
Shima,Naruto,false,,available
Shimeji,Naruto,false,,available
Shimon Hijiri,Naruto,false,,available
Shin,Naruto,false,,available
Shinju,Naruto,false,,available
Shinku Yûhi,Naruto,false,,available
Shin Uchiwa,Naruto,false,,available
Shinnô,Naruto,false,,available
Shino Aburame,Naruto,false,,available
Shinobu Mibu,Naruto,false,,available
Shiore,Naruto,false,,available
Shira,Naruto,false,,available
Shiranami,Naruto,false,,available
Shishio,Naruto,false,,available
Shisui Uchiwa,Naruto,false,,available
Shizune,Naruto,false,,available
Shôseki,Naruto,false,,available
Shun,Naruto,false,,available
Shukaku,Naruto,false,,available
Shura,Naruto,false,,available
Shuradô,Naruto,false,,available
Son Gokû,Naruto,false,,available
Sôsetsu Kazahana,Naruto,false,,available
Sora,Naruto,false,,available
Suien,Naruto,false,,available
Suigetsu Hôzuki,Naruto,false,,available
Suika,Naruto,false,,available
Suiko,Naruto,false,,available
Suiren,Naruto,false,,available
Suiren (Kiri),Naruto,false,,available
Suzume,Naruto,false,,available
Suzumebachi,Naruto,false,,available
Sumaru,Naruto,false,,available
Sukima,Naruto,false,,available
Sukui,Naruto,false,,available
Sukune,Naruto,false,,available
Suname,Naruto,false,,available
Taiseki,Naruto,false,,available
Taji,Naruto,false,,available
Tajiki,Naruto,false,,available
Taku,Naruto,false,,available
Tango,Naruto,false,,available
Tanzô,Naruto,false,,available
Tatewaki,Naruto,false,,available
Tatsuji,Naruto,false,,available
Tayuya,Naruto,false,,available
Tazuna,Naruto,false,,available
Tekka Uchiwa,Naruto,false,,available
Tekuno Kanden,Naruto,false,,available
Temari,Naruto,false,,available
Temui,Naruto,false,,available
Tenga,Naruto,false,,available
Tenten,Naruto,false,,available
Terai,Naruto,false,,available
Tetsu,Naruto,false,,available
Teuchi,Naruto,false,,available
Teyaki Uchiwa,Naruto,false,,available
Tobi,Naruto,false,,available
Tobio,Naruto,false,,available
Tobirama Senju,Naruto,false,,available
Tonbo Tobitake,Naruto,false,,available
Tôka Senju,Naruto,false,,available
Tokara Aburame,Naruto,false,,available
Toki,Naruto,false,,available
Tokuma Hyûga,Naruto,false,,available
Tomari,Naruto,false,,available
Torifu Akimichi,Naruto,false,,available
Toroï,Naruto,false,,available
Torune Aburame,Naruto,false,,available
Towa,Naruto,false,,available
Tsubaki,Naruto,false,,available
Tsubusa,Naruto,false,,available
Tsuchino,Naruto,false,,available
Tsume Inuzuka,Naruto,false,,available
Tsunade,Naruto,false,,available
Tsunami,Naruto,false,,available
Tsurugi,Naruto,false,,available
Tsuzumi Sarugaku,Naruto,false,,available
Udon,Naruto,false,,available
Umibôzu,Naruto,false,,available
Uruchi Uchiwa,Naruto,false,,available
Uroko Kurama,Naruto,false,,available
Utakata,Naruto,false,,available
Waraji,Naruto,false,,available
Watase,Naruto,false,,available
Yagura Karatachi,Naruto,false,,available
Yagura (anime),Naruto,false,,available
Yajirobee,Naruto,false,,available
Yahiko,Naruto,false,,available
Yokaze,Naruto,false,,available
Yakku,Naruto,false,,available
Yakumi Uchiwa,Naruto,false,,available
Yakumo Kurama,Naruto,false,,available
Yamame,Naruto,false,,available
Yamato,Naruto,false,,available
Yaoki,Naruto,false,,available
Yashiro Uchiwa,Naruto,false,,available
Yome,Naruto,false,,available
Yoroï Akadô,Naruto,false,,available
Yoshino Nara,Naruto,false,,available
Yota,Naruto,false,,available
Yotaka,Naruto,false,,available
Yûgao Uzuki,Naruto,false,,available
Yugito Nii,Naruto,false,,available
Yukata,Naruto,false,,available
Yûdachi,Naruto,false,,available
Yûkimaru,Naruto,false,,available
Yûra,Naruto,false,,available
Zabuza Momochi,Naruto,false,,available
Zaji,Naruto,false,,available
Zaku Abumi,Naruto,false,,available
Zetsu,Naruto,false,,available
Zôri,Naruto,false,,available
